statement,SĽS,Dobrá voľba,SaS,Sme rodina,SHO,Za ľudí,MÁME TOHO DOSŤ,Hlas pravice,SNS,DS,OĽANO-Nova-KÚ-ZZ,Koalícia PS-Spolu,STAROSTOVIA A NEKA,99%,KDH,Slovenská liga,Vlasť,Most-Híd,Smer-SD,SOLIDARITA,HLAS ĽUDU,MKÖ-MKS,Práca slovenského národa,Kotlebovci-ĽSNS,Socialisti.sk
Bezplatná preprava vlakmi pre študentov by mala byť zrušená.,Nie,nedodali odpoveď,Nie,Nie,-,Nie,nedodali odpoveď,Nie,Nie,Áno,Nie,Nie,nedodali odpoveď,nedodali odpoveď,Nie,nedodali odpoveď,Nie,Nie,Nie,Nie,Nie,Nie,nedodali odpoveď,Nie,Nie
Sadzba DPH na základné potraviny by mala byť najviac 10 %.,Áno,nedodali odpoveď,Nie,Áno,Áno,Áno,nedodali odpoveď,Nie,Áno,-,Áno,-,nedodali odpoveď,nedodali odpoveď,Áno,nedodali odpoveď,Áno,Áno,Áno,Áno,Áno,Áno,nedodali odpoveď,Áno,Áno
Spotrebná daň na alkohol by sa mala zvýšiť.,Nie,nedodali odpoveď,Nie,-,-,Áno,nedodali odpoveď,Áno,Nie,Nie,Nie,-,nedodali odpoveď,nedodali odpoveď,Nie,nedodali odpoveď,Áno,-,-,Áno,-,Nie,nedodali odpoveď,Nie,Áno
Mýto na diaľniciach pre osobné automobily by sa malo platiť za prejazdenú vzdialenosť.,Nie,nedodali odpoveď,Nie,Áno,Áno,Nie,nedodali odpoveď,Nie,Áno,Nie,Áno,-,nedodali odpoveď,nedodali odpoveď,-,nedodali odpoveď,Áno,Nie,Nie,-,-,Áno,nedodali odpoveď,Nie,-
Pokuty za dopravné priestupky by sa mali aspoň čiastočne stanovovať podľa príjmu dlžníka.,Nie,nedodali odpoveď,Nie,Nie,Nie,Nie,nedodali odpoveď,Áno,Nie,Nie,Nie,Nie,nedodali odpoveď,nedodali odpoveď,Áno,nedodali odpoveď,Áno,Áno,Áno,Áno,Áno,Áno,nedodali odpoveď,Áno,Áno
Malo by sa zrušiť obmedzenie rýchlosti na diaľniciach.,Nie,nedodali odpoveď,Áno,Nie,Nie,Nie,nedodali odpoveď,Áno,Áno,Nie,Nie,Nie,nedodali odpoveď,nedodali odpoveď,Nie,nedodali odpoveď,Áno,Nie,Nie,Nie,Nie,Nie,nedodali odpoveď,Nie,-
Slovensko by malo vystúpiť z EÚ.,Nie,nedodali odpoveď,Nie,Nie,Nie,Nie,nedodali odpoveď,Nie,Nie,Nie,Nie,Nie,nedodali odpoveď,nedodali odpoveď,Nie,nedodali odpoveď,Nie,Nie,Nie,Nie,Nie,Nie,nedodali odpoveď,Áno,Nie
Slovensko by sa malo vrátiť ku Slovenskej korune ako národnej mene.,Áno,nedodali odpoveď,Nie,Nie,Áno,Nie,nedodali odpoveď,Nie,Nie,Nie,Nie,Nie,nedodali odpoveď,nedodali odpoveď,-,nedodali odpoveď,Nie,Nie,Nie,Nie,-,Nie,nedodali odpoveď,Áno,Nie
Miesto Slovenska je v jadre EÚ.,Nie,nedodali odpoveď,Nie,-,Nie,-,nedodali odpoveď,Áno,-,Áno,-,Áno,nedodali odpoveď,nedodali odpoveď,-,nedodali odpoveď,Nie,Áno,Áno,Áno,Nie,Nie,nedodali odpoveď,Nie,-
EÚ by sa mala stať federáciou.,Nie,nedodali odpoveď,Nie,Nie,Nie,Nie,nedodali odpoveď,Áno,Nie,Nie,Nie,-,nedodali odpoveď,nedodali odpoveď,Nie,nedodali odpoveď,Nie,Nie,Nie,Áno,Áno,Nie,nedodali odpoveď,Nie,-
Mala by sa zvýšiť daňová progresia dane z príjmov u ľudí (tj. vyššia sadzba dane pre vyššie príjmy),Nie,nedodali odpoveď,Nie,-,-,Nie,nedodali odpoveď,Nie,-,Nie,-,Áno,nedodali odpoveď,nedodali odpoveď,-,nedodali odpoveď,Áno,Nie,Áno,Áno,Áno,Nie,nedodali odpoveď,Nie,Áno
